polard;35;2014-03-06;Екатеринбург;"МЕТРО Кэш энд Керри ООО (1065  Екатеринбург)";"620131,г. Екатеринбург, Проспект Космонавтов, д.102А";"(77) 811165";;176;405,50;21094,57;;
polard;35;2014-03-06;Екатеринбург;"ООО Наш Союз Екатеринбург";"Екатеренбург,перНикольский д.1 склад 33,12";"(77) 811187";;655;818,75;54148,50;;
polard;35;2014-03-06;Казань;"МЕТРО Кэш энд Керри ООО (1074 Казань)";"г.Казань, ул. Тихорецкая, д.4";"(77) 810508";;100;258;12806,65;;
polard;35;2014-03-06;Казань;"МЕТРО Кэш энд Керри ООО (1023 Казань)";"420124, г. Казань, ул. Вахитова, д. 4";"(77) 810509";;189;392;20409,59;;
polard;35;2014-03-06;Киров;"МЕТРО Кэш энд Керри ООО (1040 Киров)";"610050, г.Киров ,ул.Московская ,205";"(77) 814001";;215;330;19979,76;;
polard;35;2014-03-06;Краснодар;"МЕТРО Кэш энд Керри ООО (1026 Краснодар)";"350087, РФ, г. Краснодар, Ростовское шоссе, д. 30";"(77) 810210";;161;309,75;17886,56;;
polard;35;2014-03-06;Краснодар;"МЕТРО Кэш энд Керри ООО (1072 Адыгея)";"385112, Республика Адыгея, Тахтамукайский район, а. Новая Адыгея, ул. Тургеневское шоссе, 27/2";"(77) 810211";;25;61;2939,91;;
polard;35;2014-03-06;"Набережные Челны";"МЕТРО Кэш энд Керри ООО (1043 Набережные Челны)";"423822, Республика Татарстан, г. Набережные Челны, проспект Чулман, 33";"(77) 811319";;71;108;7466,75;;
polard;35;2014-03-06;Оренбург;"МЕТРО Кэш энд Керри ООО (1047 Оренбург)";"РФ, г. Оренбург, пр-т Победы, 155";"(77) 812822";;136;318,75;13955,73;;
polard;35;2014-03-06;Пермь;"МЕТРО Кэш энд Керри ООО (1035 Пермь)";"г. Пермь, шоссе Космонавтов, 393";"(77) 812537";;126;238;12849,61;;
polard;35;2014-03-06;Пятигорск;"МЕТРО Кэш энд Керри ООО (1086 Пятигорск)";"357538, Ставропольский край, г. Пятигорск, Бештаугорское шоссе, 94";"(77) 812101";;126;308;15119.93;;
polard;35;2014-03-06;Пятигорск;"МЕТРО Кэш энд Керри ООО (1086 Пятигорск)";"357538, Ставропольский край, г. Пятигорск, Бештаугорское шоссе, 94";"(77) 812101";;126;308;15119.93;;
polard;35;2014-03-06;Ростов;"МЕТРО Кэш энд Керри ООО (1024 Ростов)";"344090, РФ, г. Ростов-на Дону, ул. Доватора, д. 255";"(77) 810305";;74;187;14555,89;;
polard;35;2014-03-06;Ростов;"МЕТРО Кэш энд Керри ООО (1053 Ростов)";"РФ, 344111, г.Ростов-на-Дону, Проспект 40-летия Победы, 340";"(77) 810304";;19;37,75;2619,21;;
polard;35;2014-03-06;Самара;"МЕТРО Кэш энд Керри ООО (1032 Самара)";"443072, РФ, г. Самара, Московское шоссе, д. 5а";"(77) 810412";;45;119,25;7140;;
polard;35;2014-03-06;Самара;"МЕТРО Кэш энд Керри ООО (1064 Самара)";"443070, Самара, ул. Партизанская, 33. Бизнес Центр Сфера";"(77) 817889";;30;69;4814,77;;
polard;35;2014-03-06;Санкт-Петербург;"МЕТРО Кэш энд Керри ООО (1015 С.Петербург)";"197227, г. Санкт-Петербург, Комендантский пр-т., д. 3, лит.А";"(77) 810129";;109;222;12767,91;;
polard;35;2014-03-06;Санкт-Петербург;"МЕТРО Кэш энд Керри ООО (1016  С.Петербург)";"195426, г. Санкт-Петербург, Проспект Косыгина, д. 4, лит.А";"(77) 810130";;82;205,75;10040,27;;
polard;35;2014-03-06;Санкт-Петербург;"МЕТРО Кэш энд Керри ООО (1020  С.Петербург)";"РФ г. Санкт-Петербург, ш. Пулковское, участок 6 (07:00-16:00 подача документов)";"(77) 810131";;57;148,25;8992,73;;
polard;35;2014-03-06;Ставрополь;"МЕТРО Кэш энд Керри ООО (1042 Ставрополь)";"355000, РФ, г. Ставрополь, ул. Южный обход, 13";"(77) 812718";;51;83;4345,06;;
polard;35;2014-03-06;Тверь;"МЕТРО Кэш энд Керри ООО (1063 Тверь)";"г. Тверь, ул. Склизкова, 122";"(77) 813490";;149;310,50;16405,78;;
polard;35;2014-03-06;Тольятти;"МЕТРО Кэш энд Керри ООО (1034 Тольятти)";"г.Тольятти, Южное шоссе, д.2А";"(77) 811813";;74;117;6356,08;;
polard;35;2014-03-06;Тюмень;"МЕТРО Кэш энд Керри ООО (1033 Тюмень)";"625007, г. Тюмень, ул. Мельникайте, 141";"(77) 811636";;82;211;11099,98;;
polard;35;2014-03-06;Тюмень;"МЕТРО Кэш энд Керри ООО (1033 Тюмень)";"625007, г. Тюмень, ул. Мельникайте, 141";"(77) 811636";;82;211;11099,98;;
polard;35;2014-03-06;Ульяновск;"МЕТРО Кэш энд Керри ООО (1041 Ульяновск)";"г. Ульяновск, ул.Урицкого, д.100-Д";"(77) 812417";;88;194;10115,27;;
polard;35;2014-03-06;Уфа;"МЕТРО Кэш энд Керри ООО (1027 Уфа)";"г. УФА, ул. Рубежная 170";"(77) 811432";;400;920;46408.23;;
polard;35;2014-03-06;Чебоксары;"МЕТРО Кэш энд Керри ООО (1070 Чебоксары)";"г.Чебоксары, Марпосадское ш., 15/2";"(77) 814901";;19;36;2562,46;;
polard;35;2014-03-06;Челябинск;"МЕТРО Кэш энд Керри ООО (1031 Челябинск)";"456620, Челябинская обл. г. Копейск, пр. Победы, 76";"(77) 811535";;155;416;20283,57;;
