;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";1342;234;234;234;234;
;user;36;2014-03-05;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";4323;234;423;234;234;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
;user;36;2014-03-05;Брянск;"МЕТРО Кэш энд Керри ООО (1056 Брянск)";"241029,Брянск,Фокинский район,Московский пр-т, д.1Д";"(77) 813901";qWD;asd;ad;;;
;user;36;2014-03-05;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";q;;ew;;;
;user;34;2014-03-06;Казань;"МЕТРО Кэш энд Керри ООО (1074 Казань)";"г.Казань, ул. Тихорецкая, д.4";"(77) 810508";12;;12;;;
;user;34;2014-03-06;Екатеринбург;"О`КЕЙ г.Екатеринбург ул.Бабушкина";"г.Екатеринбург ул.Бабушкина д.2А";"(77) 811166";12;;22;;;
;user;34;2014-03-06;Ижевск;"РЦ Тандер Магнит Ижевск";#Н/Д;"(77) 815114";22;;33;;;
;user;39;2014-03-08;Красноярск;"МЕТРО Кэш энд Керри ООО (1095 Красноярск)";"г.Красноярск,ул.Кутузова ,д.1,стр.196";"(77) 813168";1231;123123;123123;123123;123123;123123
;user;39;2014-03-08;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";;;wqweqwe;;;
;user;39;2014-03-08;Владимир;"Гиперглобус Владимир";"600027, г. Владимир, Суздальский пр-кт, д.28";"(77) 810854";qwe;;;;;
;user;39;2014-03-08;Волгоград;"Ашан Волгоград Историческая";"811094 Волгоград ул.Историческая д,175";"(77) 811094";qweqwe;;;;;
;user;39;2014-03-08;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";2;;we;;;
;user;39;2014-03-08;Кемерово;"МЕТРО Кэш энд Керри ООО (1076 Кемерово)";"650056, г.Кемерово, ул. Волгоградская, д. 58";"(77) 814601";;;;;123;123
;user;39;2014-03-08;Астрахань;"О`КЕЙ г. Астрахань пл.Вокзальная";"О`КЕЙ г. Астрахань пл.Вокзальная д,1 ТРЦ Ярмарка";"(77) 813585";909090;9090;9090;9090;9090;9090
;user;62;2014-03-23;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";2;2;2;2;2;2
;user;62;2014-03-23;Астрахань;"О`КЕЙ Астрахань ул.Минусинская";"г.Астрахань ул.Минусинская д.8";"(77) 813584";2;2;2;2;2;2
;user;59;2014-03-21;Барнаул;"МЕТРО Кэш энд Керри ООО (1057 Барнаул)";"г. Барнаул, Павловский тракт, 309";"(77) 813703";1;1;1;1;1;1
;user;59;2014-03-21;Астрахань;"О`КЕЙ, г. Астрахань, ул. Боевая, д.25";"г. Астрахань, ул. Боевая, д.25 ТРЦ Алимпик";"(77) 813501";3;3;3;3;3;3
;user;59;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";2;2;2;2;2;2
;user;59;2014-03-21;Астрахань;"МЕТРО Кэш энд Керри ООО (1058 Астрахань)";"414021, г. Астрахань, ул. Заводская/Набережная реки Царева, д. 54/83";"(77) 813581";1;1;1;1;1;1
;user;48;2014-03-19;Москва;"ООО реал-Гипермаркет (8045 Серпухов)";"142203,Московская обл.,г.Серпухов,б-р. 65 лет Победы д.4";"(77) 815414";321;;321;;;
;user;46;2014-03-13;Екатеринбург;"ЖТК Екатеринбург Минометчиков";"Екатеринбург ул.Минометчиков д,74";"(77) 811168";1;1;2;333;007JB;13.04.2014
;user;46;2014-03-13;Ижевск;"ООО реал-Гипермаркет (8034 Ижевск)";"426009, г.Ижевск, ул. Ленина, д. 136";"(77) 815110";1;2;5;1500;111;01.01.2014
;user;46;2014-03-13;Ижевск;"РЦ Тандер Магнит Ижевск";#Н/Д;"(77) 815114";1;2;5;1555;121;01.01.2014
;user;46;2014-03-13;Ижевск;"МЕТРО Кэш энд Керри ООО (1071 Ижевск)";"426075, Удмурдская республика, г. Ижевск, ул. Союзная, 6";"(77) 815111";2;4;10;3000;222;01.02.2014
;user;48;2014-03-19;Москва;"МЕТРО Кэш энд Керри ООО (1010 Москва)";"125455, г. Москва, Ленинградское ш., д.71г";"(77) 817701";2;4;15;1500;005;01.04.2014
